system:index,TCB,blue,green,ndvi,nir,presence,red,swir1,swir2,.geo
492_0,0.4016109850242734,0.13558024,0.12846722,0.10429449,0.1728222,0.0,0.14017801,0.29268888,0.22756277,
491_0,0.29918573139086363,0.10845337,0.094146185,0.002140096,0.0949846,0.0,0.094578914,0.32782128,0.12459967,
504_0,0.3868140931650997,0.13439023,0.124464445,0.09916828,0.16262597,0.0,0.13328135,0.28419653,0.22507456,
493_0,0.269154339376837,0.10442356,0.08789862,-0.03005659,0.07418643,0.0,0.078784205,0.32725334,0.09955533,
506_0,0.6968003749072552,0.222965,0.23481102,0.099752374,0.3363407,0.0,0.27532554,0.39870816,0.3641978,
499_0,0.31738092052713035,0.11096863,0.093551174,-0.13840546,0.07029185,0.0,0.09287503,0.44909436,0.10358514,
495_0,0.49021609660834076,0.15045539,0.14399147,0.08514295,0.18785964,0.0,0.1583798,0.44714704,0.28041014,
494_0,0.22455563380494714,0.10280082,0.08424745,0.028920552,0.06831751,0.0,0.06447702,0.16706148,0.18017866,
505_0,0.3180427384287119,0.1392855,0.12954904,0.035807535,0.13417387,0.0,0.124897175,0.173877,0.15361974,
513_0,0.3834824519425631,0.13736525,0.13098247,0.092171356,0.16167937,0.0,0.13439023,0.2682125,0.2175829,
511_0,0.378712684649229,0.14226054,0.13382226,0.076119944,0.15332223,0.0,0.13163157,0.2464407,0.24438521,
512_0,0.3782788111925125,0.1367973,0.130712,0.09551583,0.16254483,0.0,0.13420092,0.2482798,0.2213152,
514_0,0.41747587053477764,0.1424769,0.13617525,0.11339338,0.17885341,0.0,0.14242281,0.27594757,0.27870625,
498_0,0.3843157363831997,0.1304145,0.12173282,0.065219544,0.1473181,0.0,0.12927859,0.34288576,0.19083467,
497_0,0.34211614373996857,0.121246,0.11140136,0.10411937,0.1380955,0.0,0.11205046,0.26848295,0.19962452,
496_0,0.29682563031464815,0.12146237,0.107750185,-0.012423983,0.101042844,0.0,0.10358514,0.26410156,0.1279804,
502_0,0.36701032943725587,0.13414682,0.124221034,0.073449716,0.14723696,0.0,0.12708788,0.26488587,0.21915154,
503_0,0.36592127268463376,0.13639161,0.12689856,0.08178734,0.14666899,0.0,0.12449149,0.24238382,0.24576455,
472_0,0.4116614841893316,0.14004278,0.13487706,0.124438986,0.18634507,0.0,0.14510034,0.2717014,0.23862447,
476_0,0.4164524068981409,0.13942073,0.13333544,0.1209401,0.18575007,0.0,0.1456683,0.28800997,0.24076109,
474_0,0.37405288960933686,0.13598593,0.12852131,0.08136533,0.1529436,0.0,0.12992768,0.26734704,0.21596014,
501_0,0.4237732032343745,0.14769673,0.14215235,0.097568996,0.18071957,0.0,0.14858924,0.2704032,0.27870625,
479_0,0.28808247799128295,0.10991384,0.09387572,-0.060847394,0.07973081,0.0,0.090062276,0.33412296,0.11589095,
489_0,0.38067239179164175,0.13198316,0.12395058,0.097100325,0.15553999,0.0,0.12800744,0.2904982,0.22323546,
477_0,0.4205277535244823,0.16535759,0.1612196,0.05348363,0.18831941,0.0,0.16919808,0.24617024,0.17901568,
461_0,0.12554595278841446,0.097553946,0.07921694,-0.24893114,0.042759296,0.0,0.07110322,0.02390842,0.0060041468,
478_0,0.36057907436341047,0.1285754,0.11937985,0.070180945,0.13836595,0.0,0.12021827,0.2796258,0.22350591,
460_0,0.4749353584378958,0.15935344,0.15816343,0.090372615,0.21487832,0.0,0.17925909,0.2786251,0.2917423,
